,Portfolio Value,SPY Value
2026-03-02 14:30:00+00:00,10000.0,10000.0
2026-03-02 15:30:00+00:00,10078.819613207077,9996.926942409507
2026-03-02 16:30:00+00:00,10150.322070172699,10044.682132335809
2026-03-02 17:30:00+00:00,10116.164780705221,10048.139210491227
2026-03-02 18:30:00+00:00,10138.88435263121,10069.795291139832
2026-03-02 19:30:00+00:00,10062.965142264151,10028.093337002068
2026-03-02 20:30:00+00:00,10112.905874899783,10043.018340911487
2026-03-03 14:30:00+00:00,9439.8571011833,9801.296149783024
2026-03-03 15:30:00+00:00,9621.258348523686,9891.576705383977
2026-03-03 16:30:00+00:00,9692.6729834326,9925.230302937747
2026-03-03 17:30:00+00:00,9674.567039067362,9947.178417829913
2026-03-03 18:30:00+00:00,9602.898462274155,9957.128122745831
2026-03-03 19:30:00+00:00,9602.103608056832,9965.175586258742
2026-03-03 20:30:00+00:00,9586.85140266741,9953.9094945691
2026-03-04 14:30:00+00:00,9969.523382703537,10039.653249077432
2026-03-04 15:30:00+00:00,9934.01381490274,10025.752597698176
2026-03-04 16:30:00+00:00,9986.586118971354,10027.728070929845
2026-03-04 17:30:00+00:00,9945.036839730237,10039.140626276809
2026-03-04 18:30:00+00:00,9941.625767764854,10046.383432745535
2026-03-04 19:30:00+00:00,9909.460305513941,10040.969635851156
2026-03-04 20:30:00+00:00,9882.16103298758,10025.313206726214
2026-03-05 14:30:00+00:00,9703.680176911072,9961.810494424688
2026-03-05 15:30:00+00:00,9649.802440134428,9943.007775880593
2026-03-05 16:30:00+00:00,9560.25560975123,9928.010433213596
2026-03-05 17:30:00+00:00,9439.454270962487,9895.67322243355
2026-03-05 18:30:00+00:00,9521.52537103051,9901.08701932793
2026-03-05 19:30:00+00:00,9616.713101458561,9941.91108459285
2026-03-05 20:30:00+00:00,9648.389097830815,9970.882310467761
2026-03-06 14:30:00+00:00,9578.071160910089,9864.506827840985
2026-03-06 15:30:00+00:00,9582.272223421114,9868.164846989679
2026-03-06 16:30:00+00:00,9553.295660686977,9859.239494603926
2026-03-06 17:30:00+00:00,9515.849395451487,9871.384368237494
2026-03-06 18:30:00+00:00,9493.881551439483,9875.480885287068
2026-03-06 19:30:00+00:00,9317.252356617233,9836.120563524275
2026-03-06 20:30:00+00:00,9305.25124171744,9839.70535084431
2026-03-09 13:30:00+00:00,9357.75551007597,9716.576747804847
2026-03-09 14:30:00+00:00,9456.048013150541,9800.126226666614
2026-03-09 15:30:00+00:00,9522.145706928799,9816.221153692437
2026-03-09 16:30:00+00:00,9509.684855095282,9786.59084135958
2026-03-09 17:30:00+00:00,9512.429633287411,9804.369207373511
2026-03-09 18:30:00+00:00,9704.141165612935,9911.62257887313
2026-03-09 19:30:00+00:00,9743.016100971001,9925.17136024638
2026-03-10 13:30:00+00:00,10000.755789317867,9914.987670707182
2026-03-10 14:30:00+00:00,10077.149460460081,9966.053475131579
2026-03-10 15:30:00+00:00,10072.644847615577,9958.590973176872
2026-03-10 16:30:00+00:00,10143.92824319823,9997.586028867445
2026-03-10 17:30:00+00:00,10035.41643911065,9940.3008774334
2026-03-10 18:30:00+00:00,9953.114486824003,9911.914613116689
2026-03-10 19:30:00+00:00,9913.787635748187,9906.64727987963
2026-03-11 13:30:00+00:00,10083.88231937402,9893.478946786978
2026-03-11 14:30:00+00:00,10042.730280541073,9871.822866138373
2026-03-11 15:30:00+00:00,10014.070050664617,9872.335488938994
2026-03-11 16:30:00+00:00,10048.496949013546,9898.014854808516
2026-03-11 17:30:00+00:00,10043.30307077968,9880.602647937887
2026-03-11 18:30:00+00:00,10027.011882305935,9876.285542331249
2026-03-11 19:30:00+00:00,10053.599121876134,9896.112613405508
2026-03-12 13:30:00+00:00,9803.46784825683,9775.105054183954
2026-03-12 14:30:00+00:00,9769.597343732641,9776.71436827232
2026-03-12 15:30:00+00:00,9846.357826528943,9786.518502601999
2026-03-12 16:30:00+00:00,9845.050814202954,9782.421092481343
2026-03-12 17:30:00+00:00,9848.368775439158,9777.007295586962
2026-03-12 18:30:00+00:00,9807.05073059275,9773.93423799647
2026-03-12 19:30:00+00:00,9784.7041666639,9745.547973679759
2026-03-13 13:30:00+00:00,9975.192430795978,9786.519395673082
2026-03-13 14:30:00+00:00,9887.213454406688,9724.332177074197
2026-03-13 15:30:00+00:00,9880.364066504893,9720.527694268181
2026-03-13 16:30:00+00:00,9912.35843487822,9721.112655826384
2026-03-13 17:30:00+00:00,9886.600955301648,9706.042081330726
2026-03-13 18:30:00+00:00,9884.479148139073,9691.84850263683
2026-03-13 19:30:00+00:00,9895.971075071924,9690.824150106666
2026-03-16 13:30:00+00:00,10252.884965209985,9807.442264964002
2026-03-16 14:30:00+00:00,10236.726703701197,9804.36920737351
2026-03-16 15:30:00+00:00,10194.98553718413,9766.1797017982
2026-03-16 16:30:00+00:00,10232.318347223194,9791.78583583906
2026-03-16 17:30:00+00:00,10251.976935749326,9800.564724567494
2026-03-16 18:30:00+00:00,10231.609521460958,9792.810188369223
2026-03-16 19:30:00+00:00,10192.955266844543,9788.274280347687
2026-03-17 13:30:00+00:00,10327.86358108744,9840.949398860452
2026-03-17 14:30:00+00:00,10312.340670868065,9827.414906624499
2026-03-17 15:30:00+00:00,10330.545795787502,9821.196452685936
2026-03-17 16:30:00+00:00,10354.782074631079,9825.878824364792
2026-03-17 17:30:00+00:00,10385.536185574052,9816.660544664397
2026-03-17 18:30:00+00:00,10390.519449874444,9818.708356653644
2026-03-17 19:30:00+00:00,10438.678282616702,9814.172448632107
2026-03-18 13:30:00+00:00,10453.027077829784,9744.378050563355
2026-03-18 14:30:00+00:00,10541.95448588381,9758.632358090774
2026-03-18 15:30:00+00:00,10603.953351867483,9760.6194412465
2026-03-18 16:30:00+00:00,10582.038641190282,9742.622272817669
2026-03-18 17:30:00+00:00,10615.494058794311,9746.718789867244
2026-03-18 18:30:00+00:00,10485.441052667366,9699.74950249242
2026-03-18 19:30:00+00:00,10438.95678409875,9680.143019975223
2026-03-19 13:30:00+00:00,10399.441384602163,9603.471081509964
2026-03-19 14:30:00+00:00,10431.952607925821,9623.808989242681
2026-03-19 15:30:00+00:00,10471.28174454804,9627.174974147816
2026-03-19 16:30:00+00:00,10481.906918630362,9615.030100514248
2026-03-19 17:30:00+00:00,10533.372337383518,9615.834757558432
2026-03-19 18:30:00+00:00,10636.770232914474,9660.828571701586
2026-03-19 19:30:00+00:00,10632.411701831526,9653.073142432237
2026-03-20 13:30:00+00:00,10321.617721662897,9538.065234734348
2026-03-20 14:30:00+00:00,10364.419321177535,9538.94312360719
2026-03-20 15:30:00+00:00,10373.956109071496,9556.208866820498
2026-03-20 16:30:00+00:00,10287.366040031433,9542.454679098562
2026-03-20 17:30:00+00:00,10202.483858774094,9502.509395777568
2026-03-20 18:30:00+00:00,10131.462330836623,9468.709334566474
2026-03-20 19:30:00+00:00,10208.316523462958,9489.048135370274
2026-03-23 13:30:00+00:00,10579.983220160108,9671.656165490347
2026-03-23 14:30:00+00:00,10432.522732080848,9670.193315059301
2026-03-23 15:30:00+00:00,10209.581933623833,9570.695372829034
2026-03-23 16:30:00+00:00,10280.265969977503,9588.107579699661
2026-03-23 17:30:00+00:00,10345.148528703792,9618.981046977582
2026-03-23 18:30:00+00:00,10350.170336218443,9618.10315810474
2026-03-23 19:30:00+00:00,10328.374027722677,9589.423966473387
2026-03-24 13:30:00+00:00,10327.29493251829,9547.283514434743
2026-03-24 14:30:00+00:00,10450.671074322878,9599.227207731985
2026-03-24 15:30:00+00:00,10458.298760574287,9598.05728461558
2026-03-24 16:30:00+00:00,10420.656567471535,9560.672436084455
2026-03-24 17:30:00+00:00,10467.220287344991,9578.011411126423
2026-03-24 18:30:00+00:00,10502.499245447014,9575.962706066095
2026-03-24 19:30:00+00:00,10531.201173840152,9557.672610322623
2026-03-25 13:30:00+00:00,10579.481315387971,9629.955104423665
2026-03-25 14:30:00+00:00,10520.815769066472,9625.565660059447
2026-03-25 15:30:00+00:00,10573.507974797167,9620.590361065948
2026-03-25 16:30:00+00:00,10557.333009940749,9628.199326677977
2026-03-25 17:30:00+00:00,10605.356645344486,9620.810056551929
2026-03-25 18:30:00+00:00,10538.728328495894,9606.104748128491
2026-03-25 19:30:00+00:00,10543.892014540817,9609.469839962545
2026-03-26 13:30:00+00:00,10213.57374097121,9563.817832432525
2026-03-26 14:30:00+00:00,10120.823772108786,9535.870959087777
2026-03-26 15:30:00+00:00,10106.290792958293,9503.094357335769
2026-03-26 16:30:00+00:00,9996.896398680488,9490.65744945864
2026-03-26 17:30:00+00:00,9925.078291203297,9461.100368954445
2026-03-26 18:30:00+00:00,9977.395556815372,9455.394537816504
2026-03-26 19:30:00+00:00,9910.542252251182,9439.22548589094
2026-03-27 13:30:00+00:00,10004.61777388399,9351.359794493617
2026-03-27 14:30:00+00:00,10075.768297332017,9378.576135693924
2026-03-27 15:30:00+00:00,10036.314768740232,9348.287629974204
2026-03-27 16:30:00+00:00,9959.88698545119,9315.072530321315
2026-03-27 17:30:00+00:00,9956.471785057787,9302.635622444188
2026-03-27 18:30:00+00:00,9949.143005094636,9289.305643485835
2026-03-27 19:30:00+00:00,9978.05377547901,9277.907377276173
2026-03-30 13:30:00+00:00,9733.384504492431,9303.952009217914
2026-03-30 14:30:00+00:00,9617.934878247324,9312.73179101743
2026-03-30 15:30:00+00:00,9533.541940096959,9295.173120489482
2026-03-30 16:30:00+00:00,9488.459619601832,9267.957672360255
2026-03-30 17:30:00+00:00,9504.268114007644,9251.56981801979
2026-03-30 18:30:00+00:00,9461.801120658818,9212.063032599677
2026-03-30 19:30:00+00:00,9511.346969086477,9247.472407899133
