,Portfolio Value,SPY Value
2026-03-03 14:30:00+00:00,10000.0,10000.0
2026-03-03 15:00:00+00:00,9853.724576472006,9962.372032503912
2026-03-03 15:30:00+00:00,10014.0443726843,9994.050620019076
2026-03-03 16:00:00+00:00,10081.971711220376,10054.136271483445
2026-03-03 16:30:00+00:00,10112.231621173993,10077.039659688931
2026-03-03 17:00:00+00:00,10172.054512852026,10088.342937003928
2026-03-03 17:30:00+00:00,10101.770059203465,10074.957285920813
2026-03-03 18:00:00+00:00,10148.0098661308,10110.651750310497
2026-03-03 18:30:00+00:00,10152.773138322069,10132.068247394722
2026-03-03 19:00:00+00:00,10061.63362271621,10120.764970079723
2026-03-03 19:30:00+00:00,10046.149180389511,10131.666115058506
2026-03-03 20:00:00+00:00,10060.302893053053,10128.944686742545
2026-03-03 20:30:00+00:00,10032.37434077779,10113.923273876453
2026-03-04 14:30:00+00:00,10239.690802102336,10132.707301942564
2026-03-04 15:00:00+00:00,10442.699732636149,10204.646325971924
2026-03-04 15:30:00+00:00,10469.524321398332,10200.035874198486
2026-03-04 16:00:00+00:00,10375.307135759127,10190.517229328178
2026-03-04 16:30:00+00:00,10433.500292258168,10199.292428637855
2026-03-04 17:00:00+00:00,10454.139742098769,10192.525167765438
2026-03-04 17:30:00+00:00,10426.952973971167,10205.389771532557
2026-03-04 18:00:00+00:00,10384.858302195418,10204.125278655927
2026-03-04 18:30:00+00:00,10413.39664693243,10210.669233535771
2026-03-04 19:00:00+00:00,10399.9959677422,10211.48711442726
2026-03-04 19:30:00+00:00,10377.297848761384,10214.610675079439
2026-03-04 20:00:00+00:00,10371.71624453144,10205.984346431476
2026-03-04 20:30:00+00:00,10336.74951264396,10190.145052673895
2026-03-05 14:30:00+00:00,10258.232915715993,10189.178301120694
2026-03-05 15:00:00+00:00,10144.341977330436,10125.52429251488
2026-03-05 15:30:00+00:00,10202.18722685151,10144.709545169271
2026-03-05 16:00:00+00:00,10089.580595946727,10106.412567443407
2026-03-05 16:30:00+00:00,10059.871195415093,10129.093557404261
2026-03-05 17:00:00+00:00,9988.777788675854,10091.168756332683
2026-03-05 17:30:00+00:00,9807.568388568614,10060.680226363293
2026-03-05 18:00:00+00:00,9836.344554669255,10058.300111271747
2026-03-05 18:30:00+00:00,9895.736669699347,10063.0594337069
2026-03-05 19:00:00+00:00,9919.969451986608,10063.802879267532
2026-03-05 19:30:00+00:00,9957.913631614176,10070.050000571886
2026-03-05 20:00:00+00:00,10045.212235129151,10105.29785297643
2026-03-05 20:30:00+00:00,10108.760842459042,10134.745196061758
2026-03-06 14:30:00+00:00,9864.671968781546,9977.542316031724
2026-03-06 15:00:00+00:00,9949.50206051936,10026.621523756585
2026-03-06 15:30:00+00:00,9940.297780003613,10037.775930409869
2026-03-06 16:00:00+00:00,9946.326335124977,10030.339659307681
2026-03-06 16:30:00+00:00,9974.129818694617,10038.519375970503
2026-03-06 17:00:00+00:00,9918.098608147624,10021.267626422514
2026-03-06 17:30:00+00:00,9879.595680681932,10010.410961092657
2026-03-06 18:00:00+00:00,9861.304687105847,10033.612090621571
2026-03-06 18:30:00+00:00,9810.914371355837,10024.688020650181
2026-03-06 19:00:00+00:00,9821.621974924092,10037.775930409869
2026-03-06 19:30:00+00:00,9773.437657069386,10039.114858617355
