Date,Strategy,Benchmark
2016-07-01,11127.07125148307,10418.614504940211
2016-08-01,10902.367693506645,10431.0918157055
2016-09-01,11255.614837182033,10379.266349902617
2016-10-01,10817.327513391907,10250.845131392436
2016-11-01,12273.867827705053,10628.467044955616
2016-12-01,12916.796090893495,10780.384498023805
2017-01-01,13343.6253640399,11037.97370462271
2017-02-01,14155.508684984392,11471.671926205107
2017-03-01,14605.345073623517,11436.255671612067
2017-04-01,14690.900902408437,11600.025412457302
2017-05-01,15448.749182604975,11763.733422637031
2017-06-01,15909.002231531373,11781.274362714472
2017-07-01,16354.262137348578,12082.06131724152
2017-08-01,17499.734852801117,12117.314671467255
2017-09-01,18003.528506867267,12300.428402244905
2017-10-01,19865.638978004135,12652.760462469
2017-11-01,20385.592278218617,13039.498795008834
2017-12-01,19911.023963984328,13130.526662889093
2018-01-01,21266.339535634233,13941.452407671715
2018-02-01,20516.64329990941,13434.536472577738
2018-03-01,19808.635707620404,13014.166930522395
2018-04-01,20988.66751156533,13133.813820827258
2018-05-01,24657.625142800076,13453.085680191769
2018-06-01,28298.245951596844,13469.968159837155
2018-07-01,28157.67942392532,14031.710356973863
2018-08-01,35175.25884895713,14479.599772659678
2018-09-01,36633.519923752145,14500.048055608355
2018-10-01,29697.69696286679,13559.137248789415
2018-11-01,28425.807850350702,13810.65112905816
2018-12-01,25536.20018880478,12521.523639715488
2019-01-01,26516.175931604568,13603.037183037683
2019-02-01,28062.673723005457,14043.996474150155
2019-03-01,28371.127366805496,14235.496144362649
2019-04-01,29207.941619818826,14882.311772269406
2019-05-01,29261.563760765323,13933.2533749741
2019-06-01,31910.621496799646,14830.68435901835
2019-07-01,32647.969925212143,15128.142144459878
2019-08-01,32853.10054411686,14874.844076483954
2019-09-01,31018.108189424944,15094.569236128458
2019-10-01,31367.5485584307,15499.472674363627
2019-11-01,32194.61477901671,16060.527260476236
2019-12-01,32482.81914534131,16446.316484033927
2020-01-01,33858.26212972319,16520.504740786513
2020-02-01,31998.548019337806,15212.647996055417
2020-03-01,26602.347407563586,13235.196150475706
2020-04-01,30992.30174078214,15003.557658284935
2020-05-01,33696.3178904268,15718.402194319398
2020-06-01,35475.97897282248,15927.075850097719
2020-07-01,39166.6073910646,16939.268428168365
2020-08-01,42866.82262192783,18121.5684287428
2020-09-01,42908.77445966283,17373.492217777904
2020-10-01,40414.115966803445,17008.120411836142
2020-11-01,56350.07882176145,18858.210748663518
2020-12-01,57694.7105369605,19473.864393674983
2021-01-01,60143.441546285016,19357.582682010518
2021-02-01,65544.15946090342,19895.82950195957
2021-03-01,65732.34804555617,20731.189444467745
2021-04-01,68043.01264224904,21899.574324192832
2021-05-01,70656.61106481293,22043.37248000635
2021-06-01,78201.77051715252,22464.25215742247
2021-07-01,76671.46654067277,23087.949651097435
2021-08-01,78675.68506064276,23775.04453824649
2021-09-01,72630.8484958353,22594.610175562884
2021-10-01,82167.58318142015,24257.395955321073
2021-11-01,82298.23144082133,24062.491667431885
2021-12-01,81555.79093359761,25087.189849489503
2022-01-01,70194.35760919779,23847.543775401213
2022-02-01,75723.34180439825,23143.640999827592
2022-03-01,79315.69759207852,23939.248108490963
2022-04-01,76951.21885314204,21905.96516281335
2022-05-01,85454.77018539651,21955.41314062392
2022-06-01,74959.71994711513,20058.31318727344
2022-07-01,82270.97012708102,22000.059844450734
2022-08-01,87488.84697592263,21102.41023096615
2022-09-01,85703.59025910881,19073.234089285357
2022-10-01,98136.18238831848,20708.136470382877
2022-11-01,106275.34230888025,21859.332789246113
2022-12-01,95398.65789021629,20505.455833380707
2023-01-01,98493.92789842759,21895.07827405518
2023-02-01,98270.60128689064,21344.57448752188
2023-03-01,101310.25180976996,22051.81929273634
2023-04-01,102485.17395333065,22489.601169315993
2023-05-01,113444.9774094133,22593.42014551119
2023-06-01,127247.54178462371,23968.43471009008
2023-07-01,141183.95205299914,24844.950144342598
2023-08-01,139912.77939432277,24441.171576012195
2023-09-01,132776.4268036613,23199.980520545563
2023-10-01,128179.37017569205,22776.396697032164
2023-11-01,146441.23607519307,24856.88131019223
2023-12-01,150243.52247040457,25886.776871337268
2024-01-01,153697.75787472102,26405.68827505745
2024-02-01,189295.73995194244,27783.715639061156
2024-03-01,210080.1688220842,28603.426857863695
2024-04-01,202670.92744180048,27535.436617138963
2024-05-01,226218.0544769267,28928.166167977208
2024-06-01,219300.2133823356,29852.45256362739
2024-07-01,202060.98476292027,30311.409773216117
2024-08-01,209981.6571634499,31019.65941648575
2024-09-01,232514.77991925014,31574.36431775484
2024-10-01,255946.69058485073,31388.59273887904
2024-11-01,313565.65781002806,33260.400266779376
2024-12-01,280630.2738480591,32351.272178992192
2025-01-01,299842.1517258307,33331.915242767434
2025-02-01,262973.7766394889,32908.77210761611
2025-03-01,227968.55593570875,30981.92140297343
2025-04-01,241770.1107781327,30805.697500362465
2025-05-01,262262.24189446506,32741.677484537126
2025-06-01,283087.89384958387,34322.67870620415
2025-07-01,283715.0166586841,35216.9880047886
2025-08-01,291889.2233913822,35939.624322602416
2025-09-01,327073.46692366165,37116.90356238241
2025-10-01,354801.979770786,38107.02914227556
2025-11-01,383420.70160421677,38181.33914561845
2025-12-01,421649.501268827,38099.20992464488
2026-01-01,546815.7873164238,38774.94465460022
2026-02-01,671442.1908587234,38439.85345482958
2026-03-01,650831.9832046725,36442.187388407896
2026-04-01,885027.8249913725,40380.514681138404
2026-05-01,983602.225233075,42505.568834793405
