# Signal: 6-month momentum (skip=1)
# Date: 2026-09-01
# Universe: 503 stocks
# Top N: 10
# Min Market Cap: None
# Price Data Range: 2016-03-01 to 2026-08-01
index,Ticker,Momentum (%),Monthly Vol (%),Ann. Vol (%),Weight (%),Company,Sector,Industry
0,DELL,255.9037174840467,38.69870456864543,134.05624499998345,7.2037746685693795,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals"
1,MRVL,137.83600543976445,35.698524948509245,123.6633179321663,7.8091951440615395,Marvell Technology,Information Technology,Semiconductors
2,HPE,124.67431326815412,18.15740719287605,62.89910358355581,15.353334576724945,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals"
3,DVA,119.5811271073639,16.809257107449703,58.228974695182295,16.584715546679742,DaVita,Health Care,Health Care Services
4,WDC,117.89669783698696,26.002631728606996,90.07575856889972,10.721097409973304,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals"
5,SNDK,110.81647827413236,42.62330591280307,147.6514628550517,6.540476898914589,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals"
6,STX,110.51164449929955,30.89574106944193,107.02598653953163,9.023144874611472,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals"
7,DDOG,107.21465051333814,35.596816032890764,123.3109879132984,7.831507947802799,Datadog,Information Technology,Application Software
8,AMD,101.13631668565661,36.416528932095574,126.15055669138304,7.655225686058158,Advanced Micro Devices,Information Technology,Semiconductors
9,FTNT,99.29853887615808,24.719669621015925,85.63144745983294,11.277527246604075,Fortinet,Information Technology,Systems Software
